Frame,X,Y
0,416,78
0,433,117
0,9,127
0,707,113
0,491,150
0,413,151
0,410,124
0,373,82
0,815,116
0,405,80
0,364,121
0,365,135
0,395,95
0,412,92
0,456,130
0,452,150
0,715,139
0,11,152
0,416,136
0,406,134
0,66,138
0,439,81
0,447,141
0,680,156
0,449,117
0,759,86
0,272,54
0,724,147
0,814,104
0,77,64
0,732,137
0,18,139
0,74,51
0,753,96
0,423,86
0,23,126
0,747,115
0,423,97
0,179,147
0,394,83
0,772,114
0,65,149
0,148,139
0,737,120
0,442,132
0,88,150
0,429,74
0,206,114
0,421,127
0,735,110
0,97,82
0,30,141
0,77,140
0,185,116
0,151,82
0,292,155
0,433,139
0,375,132
0,56,131
0,208,146
0,481,155
0,34,88
0,329,139
0,466,154
0,342,84
0,292,57
1,451,149
1,416,136
1,380,76
1,707,113
1,416,78
1,405,134
1,431,118
1,488,154
1,418,120
1,14,157
1,454,130
1,815,116
1,416,99
1,427,132
1,395,88
1,66,138
1,371,83
1,441,115
1,715,139
1,436,81
1,397,99
1,17,128
1,4,113
1,759,86
1,3,130
1,814,104
1,681,156
1,364,136
1,433,145
1,724,147
1,737,120
1,406,92
1,772,114
1,403,80
1,732,137
1,429,73
1,412,152
1,747,115
1,31,6
1,151,83
1,14,142
1,363,121
1,753,96
1,65,149
1,115,149
1,30,142
1,444,141
1,178,148
1,87,151
1,385,86
1,736,110
1,55,130
1,147,139
1,391,75
1,423,86
1,43,124
1,36,17
1,184,116
1,645,79
1,6,88
1,485,78
2,441,115
2,4,131
2,410,124
2,707,113
2,427,119
2,389,77
2,409,137
2,416,77
2,371,83
2,488,154
2,434,80
2,454,130
2,715,139
2,725,148
2,685,155
2,17,128
2,737,120
2,458,147
2,19,150
2,414,99
2,65,138
2,6,147
2,773,114
2,363,121
2,364,136
2,430,146
2,407,82
2,733,137
2,402,98
2,815,105
2,412,152
2,759,86
2,747,116
2,151,58
2,395,87
2,422,131
2,43,124
2,816,116
2,434,130
2,47,148
2,375,134
2,147,139
2,736,110
2,178,147
2,64,149
2,750,94
2,119,89
2,176,59
2,55,131
2,93,152
2,790,57
2,115,149
3,441,115
3,416,78
3,393,80
3,409,137
3,422,121
3,430,78
3,411,123
3,815,116
3,10,149
3,491,150
3,364,129
3,454,130
3,715,139
3,66,138
3,724,147
3,421,95
3,4,131
3,458,147
3,95,119
3,814,104
3,706,113
3,373,82
3,732,137
3,681,156
3,773,114
3,17,141
3,403,82
3,411,92
3,747,116
3,412,152
3,775,56
3,759,86
3,18,128
3,431,139
3,672,76
3,4,115
3,425,147
3,375,134
3,735,109
3,43,124
3,394,94
3,753,96
3,148,139
3,736,120
