Frame,X,Y
0,39,69
0,402,55
0,6,66
0,256,61
0,350,77
0,74,76
0,228,78
0,134,61
0,98,69
0,155,78
0,288,77
1,39,69
1,397,53
1,5,66
1,269,65
1,350,77
1,79,77
1,247,75
1,152,57
1,320,59
1,288,77
1,376,56
1,136,70
1,173,69
1,109,64
2,20,74
2,387,52
2,269,66
2,351,77
2,80,74
2,53,78
2,310,59
2,133,62
2,287,77
2,153,57
2,238,60
2,110,65
2,336,56
3,373,50
3,39,69
3,5,66
3,269,70
3,350,77
3,78,73
3,288,77
3,310,57
3,133,62
3,103,69
3,153,57
4,39,69
4,354,49
4,5,66
4,270,69
4,306,71
4,351,77
4,60,78
4,84,76
4,287,55
4,134,61
4,332,52
5,39,69
5,331,48
5,270,68
5,15,64
5,324,69
5,351,77
5,61,75
5,252,58
5,106,67
5,131,63
5,223,73
5,145,78
5,81,73
5,186,59
5,310,51
6,39,69
6,270,73
6,5,65
6,300,47
6,340,68
6,146,78
6,227,58
6,167,59
6,134,62
6,81,77
6,111,71
6,264,52
6,59,77
6,210,73
6,192,62
7,38,68
7,4,67
7,270,72
7,254,60
7,355,66
7,78,69
7,208,57
7,124,63
7,232,52
7,101,66
7,154,77
7,59,76
7,166,61
7,145,58
8,38,68
8,5,65
8,270,71
8,368,65
8,230,46
8,350,77
8,172,58
8,68,69
8,142,56
8,192,47
8,95,66
8,154,77
8,311,67
8,120,61
8,291,78
8,208,59
9,36,68
9,5,65
9,254,60
9,380,63
9,185,46
9,350,77
9,64,72
9,143,58
9,101,66
9,164,50
9,122,60
9,150,78
9,290,78
10,4,65
10,254,60
10,25,69
10,390,61
10,135,46
10,48,75
10,351,77
10,95,49
10,79,65
10,152,57
10,151,78
10,115,50
10,318,65
10,106,78
11,15,66
11,255,64
11,80,47
11,397,60
11,38,75
11,350,77
11,53,45
11,76,74
11,153,57
11,35,55
11,128,62
11,96,70
11,146,78
11,368,63
11,282,64
12,38,69
12,23,48
12,255,63
12,402,58
12,2,75
12,350,77
12,76,77
12,152,57
12,185,78
13,38,69
13,14,65
13,256,61
13,403,56
13,388,78
13,350,77
13,75,77
13,95,77
13,152,57
13,205,77
13,126,62
13,367,58
14,39,69
14,5,66
14,401,55
14,269,66
14,350,77
14,75,73
14,99,77
14,152,57
14,227,77
14,297,61
15,39,69
15,396,53
15,14,65
15,268,66
15,350,77
15,79,77
15,248,75
15,352,55
15,152,58
15,208,65
15,99,76
15,132,62
16,38,69
16,385,51
16,4,65
16,267,66
16,350,77
16,82,73
16,119,77
16,151,57
16,195,65
16,231,60
17,38,69
17,371,50
17,5,66
17,255,62
17,289,72
17,350,77
17,61,77
17,100,69
17,151,57
17,82,78
17,144,77
17,174,76
17,340,52
17,304,55
17,231,59
18,38,69
18,351,48
18,14,64
18,268,67
18,308,70
18,350,77
18,80,78
18,106,68
18,151,57
18,222,58
18,288,70
19,38,69
19,15,64
19,269,68
19,327,48
19,326,69
19,350,77
19,224,55
19,64,73
19,116,66
19,244,58
19,87,69
19,152,57
19,153,78
19,281,51
19,199,58
20,38,69
20,14,65
20,268,66
20,341,67
20,297,46
20,95,75
20,151,78
20,216,58
20,73,70
20,240,57
20,176,57
20,139,61
21,37,69
21,2,67
21,269,67
21,356,66
21,264,46
21,19,78
21,215,49
21,144,78
21,189,57
21,64,76
21,95,75
21,134,60
21,240,57
22,36,68
22,14,66
22,268,71
22,369,64
22,217,45
22,349,77
22,180,53
22,80,66
22,159,51
22,119,58
22,143,74
22,57,76
23,36,70
23,14,65
23,253,60
23,380,63
23,96,64
23,349,77
23,177,45
23,151,51
23,127,62
23,74,69
23,150,78
23,272,69
24,13,65
24,268,69
24,386,78
24,127,45
24,44,74
24,349,77
24,72,54
24,104,53
24,84,71
24,146,58
24,153,77
24,191,69
24,288,78
24,332,65
24,372,62
25,12,65
25,252,60
25,386,78
25,35,73
25,72,46
25,396,59
25,44,44
25,348,77
25,84,71
25,145,58
25,106,65
25,163,78
25,63,75
25,368,60
25,288,78
25,308,65
26,36,69
26,253,62
26,18,56
26,400,57
26,348,77
26,12,77
26,72,77
26,94,67
26,186,78
26,145,58
26,366,60
27,36,68
27,253,61
27,400,55
27,385,78
27,12,65
27,347,77
27,207,77
27,84,71
27,144,78
27,63,77
27,321,61
27,106,65
27,144,58
27,177,78
27,379,58
27,280,64
28,36,68
28,398,53
28,386,78
28,12,64
28,267,65
28,348,77
28,229,76
28,84,70
28,61,77
28,147,78
28,106,65
28,368,57
28,146,57
28,323,58
28,300,60
29,35,68
29,391,52
29,11,64
29,385,78
29,265,65
29,347,77
29,96,67
29,76,77
29,313,57
29,167,67
30,380,50
30,35,68
30,2,65
30,385,78
30,267,70
30,347,77
30,63,76
30,312,56
30,93,69
30,140,68
30,226,59
30,115,71
30,347,51
31,35,68
31,364,49
31,266,69
31,11,64
31,384,78
31,289,71
31,346,77
31,56,76
31,89,67
31,125,68
31,344,51
31,206,59
32,34,68
32,344,47
32,266,73
32,11,65
32,307,70
32,384,77
32,346,77
32,89,67
32,112,69
32,151,65
32,59,74
32,256,55
32,130,59
33,33,68
33,319,46
33,251,63
33,9,64
33,323,68
33,383,77
33,345,77
33,89,68
33,228,58
33,171,58
33,268,74
33,53,73
33,116,64
33,288,50
33,140,59
33,267,50
33,288,78
34,33,68
34,264,72
34,383,78
34,10,64
34,339,66
34,285,45
34,219,57
34,238,48
34,89,67
34,65,69
34,191,53
34,140,78
34,160,57
34,119,64
34,258,45
35,32,67
35,263,66
35,9,64
35,353,65
35,383,78
35,248,44
35,336,77
35,206,52
35,128,58
35,76,66
35,180,50
35,96,63
35,55,69
35,139,78
35,148,55
36,30,67
36,8,64
36,248,59
36,382,77
36,212,44
36,366,63
36,344,76
36,156,55
36,75,64
36,178,50
36,112,57
36,53,68
36,139,78
36,197,69
36,267,73
37,17,69
37,248,59
37,377,62
37,166,44
37,344,76
37,48,74
37,110,63
37,134,52
37,91,73
37,139,78
37,201,68
37,66,61
37,159,70
38,8,63
38,248,59
38,38,73
38,382,77
38,115,44
38,344,76
38,72,48
38,63,77
38,91,73
38,96,51
38,133,58
38,201,68
38,51,57
38,135,78
38,369,60
38,319,63
39,10,62
39,29,72
39,248,59
39,60,44
39,392,58
39,382,77
39,344,76
39,30,42
39,163,78
39,140,78
39,73,72
39,93,72
39,133,58
39,214,67
39,186,67
39,311,61
40,12,66
40,248,59
40,396,57
40,1,46
40,382,77
40,31,74
40,344,76
40,89,73
40,186,77
40,60,73
40,133,58
40,360,59
40,110,73
40,303,60
41,32,67
41,248,59
41,8,63
41,397,55
41,382,77
41,344,76
41,207,76
41,87,73
41,139,78
41,60,73
41,307,61
41,133,58
41,113,74
41,169,75
41,272,63
41,371,55
42,32,67
42,394,53
42,249,59
42,7,64
42,382,77
42,344,76
42,71,76
42,227,74
42,102,64
42,133,58
42,283,60
42,306,59
42,144,76
42,341,56
43,32,67
43,387,52
43,10,65
43,261,65
43,382,77
43,344,76
43,71,75
43,96,70
43,133,58
43,307,57
43,327,55
43,284,59
44,375,50
44,31,67
44,7,63
44,263,69
44,381,77
44,344,76
44,62,75
44,83,70
44,133,58
44,139,78
44,331,53
44,307,55
44,231,58
44,167,66
44,104,64
45,359,49
45,31,67
45,263,68
45,10,64
45,382,77
45,289,70
45,344,76
45,57,75
45,139,78
45,84,74
45,133,58
45,303,51
45,238,58
45,335,49
46,32,67
46,338,48
46,263,67
46,9,64
46,382,77
46,307,68
46,344,76
46,52,75
46,224,55
46,96,67
46,116,63
46,145,56
46,190,58
46,76,70
46,147,77
47,32,67
47,250,62
47,382,77
47,312,46
47,8,65
47,324,67
47,344,76
47,52,75
47,139,78
47,92,75
47,72,69
47,221,53
47,116,63
47,197,56
47,171,58
47,280,47
47,138,57
48,31,67
48,250,62
48,382,77
48,8,65
48,339,66
48,282,46
48,207,57
48,54,70
48,92,75
48,139,78
48,232,52
48,156,57
48,128,60
48,303,67
48,178,55
49,31,67
49,248,59
49,382,77
49,8,64
49,354,64
49,335,77
49,209,51
49,48,78
49,178,57
49,139,78
49,231,43
49,75,73
49,98,62
49,123,59
49,314,66
49,226,66
49,280,74
49,150,55
50,16,70
50,247,59
50,382,77
50,367,62
50,205,45
50,344,76
50,67,65
50,92,73
50,36,77
50,155,55
50,139,78
50,184,49
50,118,55
50,284,77
50,226,65
50,261,74
50,311,65
51,31,68
51,263,69
51,8,63
51,382,77
51,158,45
51,344,76
51,135,58
51,59,73
51,111,48
51,88,54
51,139,78
51,92,74
51,208,66
52,247,59
52,382,77
52,14,68
52,37,73
52,106,45
52,344,76
52,86,53
52,74,71
52,55,54
52,127,59
52,95,72
52,139,78
52,284,77
52,261,74
52,367,61
53,27,71
53,247,59
53,49,46
53,381,77
53,7,61
53,393,57
53,21,44
53,344,76
53,83,68
53,64,76
53,266,69
53,139,78
53,127,59
53,103,75
53,367,59
53,165,78
53,217,67
53,320,61
54,31,68
54,249,61
54,2,59
54,381,77
54,396,56
54,344,76
54,65,76
54,88,68
54,127,59
54,280,74
55,31,67
55,7,63
55,396,54
55,249,60
55,381,77
55,344,76
55,139,78
55,82,75
55,62,77
55,209,75
55,106,64
55,127,60
55,320,59
55,280,74
56,31,67
56,392,53
56,7,63
56,381,77
56,249,59
56,344,76
56,72,75
56,231,74
56,138,78
56,319,56
56,280,74
56,127,59
56,107,64
56,368,54
57,31,67
57,7,63
57,385,51
57,261,64
57,381,77
57,343,76
57,71,75
57,138,78
57,92,67
57,295,56
57,280,74
57,232,59
57,336,56
58,31,67
58,373,49
58,7,63
58,248,62
58,382,77
58,264,74
58,343,76
58,68,75
58,138,78
58,94,72
58,288,56
59,356,48
59,31,67
59,7,63
59,248,60
59,381,77
59,291,70
59,343,76
59,63,75
59,139,78
59,89,68
59,144,55
59,265,77
60,32,67
60,335,47
60,8,63
60,248,58
60,381,77
60,263,73
60,309,68
60,343,76
60,59,72
60,83,69
60,143,78
60,118,62
60,226,56
60,295,51
60,182,58
61,31,67
61,261,64
61,7,63
61,308,46
61,381,77
61,326,67
61,346,77
61,51,72
61,81,68
61,236,56
61,139,78
61,284,46
61,167,57
61,207,54
61,115,65
61,297,69
61,137,58
62,26,70
62,262,66
62,381,77
62,278,45
62,342,65
62,2,77
62,239,60
62,139,78
62,51,70
62,208,56
62,80,66
62,112,63
62,147,57
62,178,54
63,30,67
63,249,62
63,7,64
63,381,77
63,356,64
63,235,44
63,335,77
63,139,78
63,195,59
63,71,67
63,144,55
63,101,62
63,172,50
63,51,74
63,266,73
63,213,48
63,291,67
64,16,70
64,247,59
64,381,77
64,199,44
64,343,76
64,36,77
64,150,55
64,138,78
64,112,54
64,56,67
64,80,75
64,172,43
64,319,65
64,284,77
64,187,60
64,92,57
65,13,69
65,247,59
65,379,61
65,41,75
65,151,44
65,343,76
65,97,50
65,127,51
65,59,60
65,83,69
